Geography,Geographic Area Name,Total!!Total population 25 years and over with a Bachelor's degree or higher,Percent!Total population 25 years and over with a Bachelor's degree or higher!!Science and Engineering,Percent!Total population 25 years and over with a Bachelor's degree or higher!!Science and Engineering Related Fields,Percent!Total population 25 years and over with a Bachelor's degree or higher!!Business,Percent!Total population 25 years and over with a Bachelor's degree or higher!!Education,"Percent!Total population 25 years and over with a Bachelor's degree or higher!!Arts, Humanities and Others",latitude,longitude
0400000US01,Alabama,1000791,30.4,10.9,22.9,15.6,20.2,33.2588817,-86.8295337
0400000US02,Alaska,149646,39.2,9.8,14.6,12.8,23.5,64.4459613,-149.680909
0400000US04,Arizona,1666139,34.2,10.2,21.9,12,21.6,34.395342,-111.763275
0400000US05,Arkansas,522807,29.5,12.2,20.7,16.7,20.9,35.2048883,-92.4479108
0400000US06,California,9935941,42.4,8.5,17.7,5.8,25.5,36.7014631,-118.755997
0400000US08,Colorado,1875132,41.5,8.1,18.8,8,23.7,38.7251776,-105.607716
0400000US09,Connecticut,1066404,36.8,8.9,19.7,9.7,24.9,41.6500201,-72.7342163
0400000US10,Delaware,264384,36.3,10.3,21.5,12.8,19.1,38.6920451,-75.4013315
0400000US11,District of Columbia,313274,49.6,4.9,12.8,3.3,29.3,38.89384735,-76.98804282
0400000US12,Florida,5518418,32.2,11.1,24.7,11.8,20.3,27.7567667,-81.4639835
0400000US13,Georgia,2544114,33.9,9.5,23.5,11.3,21.9,32.3293809,-83.1137366
0400000US15,Hawaii,362704,37.3,10.3,19.5,10.8,22,19.5938015,-155.4283701
0400000US16,Idaho,413168,32.6,12.3,18.8,14.4,21.9,43.6447642,-114.015407
0400000US17,Illinois,3275418,33.7,10.3,21.3,11.7,23.1,40.0796606,-89.4337288
0400000US18,Indiana,1357012,30.2,13.1,20.1,14.9,21.7,40.3270127,-86.1746933
0400000US19,Iowa,697806,29.7,10.3,20.7,17.6,21.7,41.9216734,-93.3122705
0400000US20,Kansas,692543,30.5,10.4,21.5,15.7,21.9,38.27312,-98.5821872
0400000US21,Kentucky,861336,29.9,11.7,19.7,14.4,24.2,37.5726028,-85.1551411
0400000US22,Louisiana,840106,29.6,13,19.5,14.9,23,30.8703881,-92.007126
0400000US23,Maine,371558,34.6,10.4,13.5,12.9,28.6,45.709097,-68.8590201
0400000US24,Maryland,1878705,41.9,8.8,18.3,8.8,22.2,39.5162401,-76.9382069
0400000US25,Massachusetts,2307709,41,8.4,17.5,8.5,24.7,42.3788774,-72.032366
0400000US26,Michigan,2241852,34,11.3,21.1,12.5,21.1,43.6211955,-84.6824346
0400000US27,Minnesota,1533711,34.3,10.3,20,12.3,23.1,45.9896587,-94.6113288
0400000US28,Mississippi,486186,27.6,12.4,21.7,18.7,19.6,32.9715285,-89.7348497
0400000US29,Missouri,1364017,30.2,11.5,21.1,14.8,22.4,38.7604815,-92.5617875
0400000US30,Montana,271742,35.7,11.4,16.6,14.2,22,47.3752671,-109.638757
0400000US31,Nebraska,450517,28.6,11.5,21.8,16.8,21.2,41.7370229,-99.5873816
0400000US32,Nevada,601212,33.5,9.9,23.4,11,22.2,39.5158825,-116.8537227
0400000US33,New Hampshire,423270,37.7,9.1,18.7,10.9,23.7,43.4849133,-71.6553992
0400000US34,New Jersey,2821608,37.5,8.9,21.5,10.1,21.9,40.0757384,-74.4041622
0400000US35,New Mexico,442597,37.2,9.4,16.3,13.1,24.1,34.5708167,-105.993007
0400000US36,New York,5556561,35.1,9.2,18.6,10.1,26.9,40.7127281,-74.0060152
0400000US37,North Carolina,2647999,34.4,10.1,20.8,11.3,23.4,35.6729639,-79.0392919
0400000US38,North Dakota,163841,29,14.9,19.1,17.8,19.2,47.6201461,-100.540737
0400000US39,Ohio,2600379,31.7,12,20.8,14.5,21,40.2253569,-82.6881395
0400000US40,Oklahoma,758917,28.4,10.4,22.6,16.5,22.1,34.9550817,-97.2684063
0400000US41,Oregon,1106239,40.1,8.9,15,9.1,27,43.9792797,-120.737257
0400000US42,Pennsylvania,3209693,34.2,11.2,19.6,13.2,21.8,40.9699889,-77.7278831
0400000US44,Rhode Island,308412,34.9,10.5,17.2,10.3,27.2,41.7962409,-71.5992372
0400000US45,South Carolina,1194503,31.3,10.4,22.8,13.6,22,33.6874388,-80.4363743
0400000US46,South Dakota,191317,31,14.5,17.5,19.6,17.5,44.6471761,-100.348761
0400000US47,Tennessee,1513960,30.4,10.7,23.3,12.7,22.9,35.7730076,-86.2820081
0400000US48,Texas,6651408,36.2,9.4,22.9,10.9,20.7,31.2638905,-98.5456116
0400000US49,Utah,775049,33.7,10.2,19.2,12.1,24.8,39.4225192,-111.714358
0400000US50,Vermont,206839,39.1,8.8,11.4,10.3,30.4,44.5990718,-72.5002608
0400000US51,Virginia,2522034,40.5,8,18.7,9.2,23.6,37.1232245,-78.4927721
0400000US53,Washington,2159683,43.8,8.5,15.9,8.9,22.9,38.8950368,-77.0365427
0400000US54,West Virginia,313086,29.3,13.6,17.3,19.2,20.6,38.4758406,-80.8408415
0400000US55,Wisconsin,1358421,32.8,11.5,19.5,14.5,21.7,44.4308975,-89.6884637
0400000US56,Wyoming,118166,35.6,9.7,14.2,19.6,20.9,43.1700264,-107.568534
0400000US72,Puerto Rico,717719,26.7,12.9,28.8,17,14.6,18.2247706,-66.4858295
